,0
0,3555.1360000000086
1,4908.117000000011
2,6448.10200000001
3,6923.094000000012
4,7383.095000000012
5,7738.091000000012
6,8243.084000000012
7,8343.08800000001
8,8563.08700000001
9,8663.08500000001
10,7876.07900000001
11,7754.08000000001
12,7414.07800000001
13,7190.07800000001
14,7108.07600000001
15,6393.077000000008
16,6066.0730000000085
17,5776.074000000008
18,5426.075000000008
19,5306.077000000008
20,5881.069000000009
21,6246.065000000008
22,6926.061000000008
23,6769.065000000009
24,6339.065000000009
25,6482.063000000008
26,6867.057000000007
27,6762.058000000007
28,6687.054000000006
29,6505.053000000007
30,5970.053000000006
31,5850.054000000006
32,5755.050000000006
33,5898.047000000005
34,5753.048000000004
35,5518.044000000004
36,5734.0450000000055
37,5274.045000000005
38,5539.041000000004
39,6099.033000000004
40,6904.034000000005
41,6762.035000000005
42,6056.040000000005
43,5914.0410000000065
44,6329.039000000005
45,6599.039000000005
46,5919.0400000000045
47,6049.041000000005
48,6047.041000000005
49,5497.043000000004
50,5102.041000000004
51,4813.0440000000035
52,5083.044000000004
53,5358.043000000003
54,5093.042000000003
55,5088.043000000004
56,5356.043000000004
57,5498.042000000003
58,5363.042000000004
59,5081.0440000000035
60,4411.043000000003
61,4669.045000000004
62,4539.0440000000035
63,4380.048000000004
64,4118.046000000003
65,3828.0500000000025
66,4248.047000000003
67,4241.0480000000025
68,4376.048000000004
69,4506.0490000000045
70,5861.048000000005
71,5726.048000000004
72,5596.047000000004
73,5444.050000000005
74,5309.050000000005
75,5449.0490000000045
76,4897.051000000005
77,5575.050000000005
78,5428.052000000005
79,5684.054000000005
80,5269.056000000004
81,5400.056000000004
82,5805.056000000004
83,6215.055000000004
84,6620.055000000005
85,6615.056000000005
86,6755.055000000006
87,6350.055000000005
88,6883.056000000006
89,6748.056000000006
90,6466.058000000006
91,6466.058000000006
92,5931.057000000007
93,5519.058000000006
94,4839.059000000007
95,4839.059000000007
96,5107.059000000007
97,4837.059000000007
98,4292.060000000007
99,4410.063000000007
100,4960.061000000007
101,5223.062000000007
102,5486.063000000007
103,5761.062000000008
104,5486.063000000007
105,5351.063000000007
106,5349.063000000007
107,5474.065000000008
108,4794.066000000007
109,5064.066000000007
110,4804.064000000006
111,4674.063000000006
112,4394.065000000005
113,4254.066000000004
