,0
0,15630.005000000001
1,15630.005000000001
2,15630.005000000001
3,15630.005000000001
4,15630.005000000001
5,15630.005000000001
6,15630.005000000001
7,15630.005000000001
8,15630.005000000001
9,15630.005000000001
10,16530.004
11,16530.004
12,16530.004
13,16530.004
14,16530.004
15,16530.004
16,16530.004
17,15630.005000000001
18,15630.005000000001
19,15630.005000000001
20,12690.005
21,15700.004
22,16000.003
23,16000.003
24,16000.003
25,16000.003
26,16000.003
27,16000.003
28,16000.003
29,16000.003
30,16000.003
31,13060.003
32,13060.003
33,13060.003
34,13060.003
35,13060.003
36,13450.003
37,13450.003
38,13450.003
39,13450.003
40,13450.003
41,13450.003
42,13450.003
43,13450.003
44,13450.003
45,13450.003
46,13060.003
47,13060.003
48,13060.003
49,13060.003
50,13060.003
51,16000.003
52,16000.003
53,16000.003
54,16000.003
55,16000.003
56,16000.003
57,16000.003
58,16000.003
59,16000.003
60,16000.003
61,13060.003
62,13060.003
63,13060.003
64,13060.003
65,13060.003
66,13450.003
67,13450.003
68,13450.003
69,13450.003
70,13450.003
71,13450.003
72,13450.003
73,13450.003
74,13450.003
75,13450.003
76,13060.003
77,13060.003
78,13060.003
79,13060.003
80,16000.003
81,16000.003
82,16000.003
83,17410.002
84,17410.002
85,17410.002
86,17410.002
87,17410.002
88,17410.002
89,17410.002
90,17410.002
91,17410.002
92,17410.002
93,17410.002
94,17410.002
95,14470.002
96,14860.002
97,14860.002
98,14860.002
99,14860.002
100,14860.002
101,14860.002
102,14860.002
103,14860.002
104,14860.002
105,14860.002
106,14470.002
107,14470.002
108,14470.002
109,14470.002
110,14470.002
111,14470.002
112,14470.002
113,14470.002
114,14470.002
115,17410.002
116,17410.002
117,17410.002
118,17410.002
119,14410.003
120,17410.002
121,17410.002
122,17410.002
123,17410.002
124,17410.002
125,17410.002
126,17800.002
127,17800.002
128,17800.002
129,17800.002
130,14860.002
131,14860.002
132,14860.002
133,14860.002
134,17260.002
135,17260.002
136,16870.002
137,16870.002
138,16870.002
139,16870.002
140,16870.002
141,16870.002
142,16870.002
143,16870.002
144,16870.002
145,16870.002
146,16870.002
147,16870.002
148,16870.002
149,16870.002
150,19810.002
151,19810.002
152,19810.002
153,19810.002
154,16870.002
155,16870.002
156,17260.002
157,17260.002
158,17260.002
159,17260.002
160,17260.002
161,17260.002
162,17260.002
163,17260.002
164,17260.002
165,17260.002
166,16870.002
167,16870.002
168,16870.002
169,16870.002
170,16870.002
171,16870.002
172,15370.002
173,15370.002
174,15370.002
175,15370.002
176,15370.002
177,15370.002
178,15370.002
179,15370.002
180,15370.002
181,15370.002
182,15370.002
183,15370.002
184,15370.002
185,15370.002
186,15760.002
187,15760.002
188,15760.002
189,15760.002
190,15760.002
191,15760.002
192,15900.001
193,15900.001
194,15900.001
195,15900.001
196,15510.001
197,15510.001
198,15510.001
199,15510.001
200,15810.001
201,15810.001
202,15810.001
203,15810.001
204,15810.001
205,15810.001
206,15810.001
207,15810.001
208,15810.001
209,15810.001
210,15810.001
211,15810.001
212,15810.001
213,15810.001
214,15810.001
215,15810.001
216,16200.001
217,16200.001
218,16200.001
219,16200.001
220,16200.001
221,16200.001
222,16200.001
223,16200.001
224,16200.001
225,16200.001
226,15810.001
227,15810.001
228,15810.001
229,15810.001
230,15810.001
231,15810.001
232,15810.001
233,15810.001
234,15810.001
235,15810.001
236,15810.001
237,15810.001
238,15810.001
239,15810.001
240,15810.001
241,15810.001
242,15670.002
243,15670.002
244,15660.003
245,15660.003
246,15660.003
247,15660.003
248,15660.003
249,15660.003
250,15670.002
251,15670.002
252,15670.002
253,15670.002
254,15670.002
255,15670.002
256,15670.002
257,15670.002
258,15670.002
259,15670.002
260,15910.001
261,15910.001
262,15910.001
263,15910.001
264,15910.001
265,15910.001
266,15910.001
267,15910.001
268,15910.001
269,15910.001
270,15910.001
271,15910.001
272,15910.001
273,15910.001
274,15910.001
275,15910.001
276,15910.001
277,15910.001
278,15910.001
279,15910.001
280,15910.002
281,15910.002
282,15910.002
283,15910.002
284,16300.002
285,16300.002
286,16300.002
287,16300.002
288,16300.002
289,16300.002
290,16300.002
291,16300.002
292,16300.002
293,16300.002
294,15910.002
295,15910.002
296,15910.002
297,15910.002
298,15900.003
299,15900.003
300,15910.002
301,15910.002
302,15910.002
303,15910.002
304,15910.002
305,15910.002
306,15910.002
307,15910.002
308,15910.002
309,15910.002
310,15910.002
311,15910.002
312,15910.002
313,15910.002
314,15910.002
315,15910.002
316,15910.002
317,15910.002
318,15910.002
319,15910.002
320,16300.002
321,16300.002
322,16300.002
323,16300.002
324,16300.002
325,16300.002
326,16300.002
327,16300.002
328,16300.002
329,16300.002
330,15910.002
331,15910.002
332,15910.002
333,15910.002
334,15900.003
335,15900.003
336,15910.002
337,15910.002
338,15910.002
339,15910.002
340,15910.002
341,15910.002
342,15910.002
343,15910.002
344,15910.002
345,15910.002
346,15910.002
347,15910.002
348,15910.002
349,16300.002
350,16300.002
351,16300.002
352,16300.002
353,16300.002
354,16300.002
355,16300.002
356,16300.003
357,16300.003
358,16300.003
359,16300.004
360,15700.004
361,15700.004
362,15700.004
363,15700.004
364,16450.003
365,16450.003
366,16450.003
367,16450.003
368,16450.003
369,15310.004
370,15310.004
371,15310.004
372,15310.004
373,16060.003
374,16060.003
375,16060.003
376,16060.004
377,16060.004
378,16060.004
379,16450.004
380,16450.004
381,16450.005
382,16450.005
383,16450.005
384,16450.005
385,16450.005
386,16450.005
387,16450.005
388,16450.005
389,16450.005
